date,breau,month,year,station,lon,_id,time,type,lat
23,龜山分局,5,110,龜山所,121.3439767,74,1100523,汽車竊盜,24.9994155
14,八德分局,5,110,八德所,121.3041569,75,1100514,汽車竊盜,24.9404339
14,平鎮分局,5,110,建安所,121.2399402,76,1100514,汽車竊盜,24.9130914
13,平鎮分局,5,110,龍岡所,121.2377289,77,1100513,汽車竊盜,24.9237392
12,八德分局,5,110,高明所,121.269335,78,1100512,汽車竊盜,24.9723158
10,桃園分局,5,110,青溪所,121.3186854,79,1100510,汽車竊盜,24.9961014
9,八德分局,5,110,八德所,121.2987075,80,1100509,汽車竊盜,24.9319649
7,楊梅分局,5,110,草湳所,121.1765813,81,1100507,汽車竊盜,24.9025687
5,大園分局,5,110,草漯所,121.1070254,82,1100505,汽車竊盜,25.0436237
2,大園分局,5,110,草漯所,121.1193818,83,1100502,汽車竊盜,25.048084
2,大園分局,5,110,草漯所,121.1194091,84,1100502,汽車竊盜,25.0481037
1,大園分局,5,110,大園所,121.209957,85,1100501,汽車竊盜,25.059042
25,龜山分局,4,110,坪頂所,121.3579809,86,1100425,汽車竊盜,25.0548546
14,八德分局,4,110,廣興所,121.2855864,87,1100414,汽車竊盜,24.9496281
11,八德分局,4,110,大安所,121.3066591,88,1100411,汽車竊盜,24.9737192
10,中壢分局,4,110,龍興所,121.2266744,89,1100410,汽車竊盜,24.9423499
7,中壢分局,4,110,仁愛所,121.2552398,90,1100407,汽車竊盜,24.9461948
5,八德分局,4,110,四維所,121.3081885,91,1100405,汽車竊盜,24.9466854
2,蘆竹分局,4,110,大竹所,121.2523524,92,1100402,汽車竊盜,25.0070186
30,楊梅分局,3,110,富岡所,121.0913883,93,1100330,汽車竊盜,24.9360928
27,蘆竹分局,3,110,南崁所,121.2954736,94,1100327,汽車竊盜,25.0501512
27,中壢分局,3,110,龍興所,121.2492965,95,1100327,汽車竊盜,24.9345189
25,楊梅分局,3,110,楊梅所,121.1509336,96,1100325,汽車竊盜,24.8994027
17,蘆竹分局,3,110,南崁所,121.284769,97,1100317,汽車竊盜,25.0807613
11,大園分局,3,110,草漯所,121.1176049,98,1100311,汽車竊盜,25.0512919
11,蘆竹分局,3,110,外社所,121.2820907,99,1100311,汽車竊盜,25.0897937
10,龍潭分局,3,110,聖亭所,121.2027561,100,1100310,汽車竊盜,24.8852793
9,八德分局,3,110,廣興所,121.2582631,101,1100309,汽車竊盜,24.9265737
7,龍潭分局,3,110,中興所,121.2432467,102,1100307,汽車竊盜,24.8808614
6,八德分局,3,110,四維所,121.3087004,103,1100306,汽車竊盜,24.954788
5,平鎮分局,3,110,建安所,121.2422825,104,1100305,汽車竊盜,24.9060133
